Pos	Num	Player Name                   	Status	TCKL	SCK	INT	Team
SS	38	Heath, Jeff                   	ACT	85	0.0	1	DAL
DB	41	Henderson, Trayvon            	ACT	--	--	--	CIN
DB	37	Hendy, A.J.                   	ACT	--	--	--	HOU
CB	41	Herndon, Tre                  	ACT	13	0.0	--	JAX
DB	42	Hill, Delano                  	ACT	24	0.0	--	SEA
DB	24	Hill, Holton                  	ACT	36	0.0	1	MIN
CB	32	Hill, Troy                    	RFA	34	0.0	2	LA
CB	28	Hilton, Mike                  	ACT	57	1.0	1	PIT
CB	38	Holsey, Joshua                	ACT	2	0.0	--	WAS
FS	29	Hooker, Malik                 	ACT	44	0.0	2	IND
DB	31	House, Davon                  	UFA	2	0.0	--	GB
DB	36	Houston-Carson, DeAndre       	ACT	10	0.0	--	CHI
DB	42	Howard, A.J.                  	ACT	--	--	--	NE
CB	25	Howard, Xavien                	ACT	35	0.0	7	MIA
DB	20	Huff, Marqueston              	UFA	--	--	--	DAL
CB	21	Hughes, Mike                  	ACT	22	0.0	1	MIN
CB	29	Humphrey, Marlon              	ACT	37	0.0	2	BAL
CB	39	Hunter, Michael               	ACT	--	--	--	NYG
SS	23	Hyde, Micah                   	ACT	58	0.0	2	BUF
DB	35	Igwebuike, Godwin             	ACT	2	0.0	0	SF
SS	23	Iloka, George                 	ACT	16	0.0	--	DAL
DB	36	Ishmael, Kemal                	ACT	21	0.0	--	ATL
CB	25	Jackson, Adoree'              	ACT	73	0.0	2	TEN
DB	39	Jackson, Bennett              	ACT	--	--	--	BAL
CB	26	Jackson, Donte                	ACT	74	1.0	4	CAR
FS	39	Jackson, Eddie                	ACT	51	1.0	6	CHI
DB	27	Jackson, J.C.                 	ACT	24	0.0	3	NE
CB	37	Jackson, Josh                 	ACT	49	0.0	--	GB
SS	25	Jackson, Kareem               	ACT	87	1.0	2	DEN
DB	34	Jackson, Robert               	ACT	--	--	--	CLE
CB	22	Jackson, William              	ACT	41	0.0	--	CIN
DB	21	Jamerson, Natrell             	ACT	10	0.0	0	GB
DB	36	James, Craig                  	ACT	0	--	--	MIN
FS	33	James, Derwin                 	ACT	105	3.5	3	LAC
CB	38	Jean-Baptiste, Stanley        	ACT	--	--	--	BAL
DB	46	Jefferson, Rickey             	UFA	--	--	--	NO
SS	23	Jefferson, Tony               	ACT	74	1.0	1	BAL
CB	20	Jenkins, Janoris              	ACT	70	0.0	2	NYG
SS	27	Jenkins, Malcolm              	ACT	97	1.0	1	PHI
DB	23	Jenkins, Rayshawn             	ACT	23	0.5	--	LAC
DB	41	Johnson, Danny                	ACT	14	0.0	--	WAS
DB	28	Johnson, Dontae               	ACT	0	0.0	0	KC
FS	39	Johnson, Isaiah               	ACT	48	0.0	1	TB
DB	27	Johnson, Isaiah               	ACT	1	0.0	--	IND
SS	43	Johnson, John                 	ACT	119	0.0	4	LA
CB	30	Johnson, Kevin                	ACT	4	0.0	--	BUF
